Max # of Attributes,Max # of Rules,Training Accuracy,Validation Accuracy
4,40,0.987913809,0.884256022
5,40,0.997590361,0.918678085
6,40,0.979794069,0.892280702
7,40,0.992799771,0.946965453
8,40,0.987757853,0.896615818
9,40,0.995058716,0.879417027
10,40,1,0.920151515
12,40,0.990502152,0.841767881
14,40,0.997402597,0.897379679
16,40,0.995277778,0.874157726
1,80,0.948720971,0.819608926
2,80,0.997530864,0.90001694
3,80,0.992583768,0.929495064
4,80,0.99003096,0.926793651
5,80,1,0.840003269
6,80,1,0.847662181
7,80,1,0.892390661
8,80,1,0.911503106
9,80,1,0.890744034
10,80,1,0.890232399
12,80,1,0.899404762
14,80,1,0.874518938
16,80,1,0.839801375
