Max # of Attribute,Max # of Rules,Training Accuracy,Validation Accuracy
10,160,0.772248656,0.714612777
10,320,0.800864663,0.706724718
10,640,0.851805507,0.706173258
12,1,0.705211933,0.699579095
12,2,0.709270454,0.69736673
12,3,0.713647376,0.702915775
12,4,0.726690384,0.714200413
12,5,0.717959642,0.701322993
12,6,0.729241193,0.703014802
12,7,0.726519457,0.702205954
12,8,0.724573235,0.716976583
12,9,0.717400639,0.69346658
12,10,0.723784149,0.70570122
12,12,0.729923938,0.709011073
12,14,0.727272889,0.708057611
12,16,0.726427929,0.693162682
12,18,0.73171931,0.713952821
12,20,0.736714282,0.708457027
12,40,0.735531258,0.706131457
12,80,0.756190505,0.690024788
12,160,0.784476781,0.720994408
12,320,0.80645925,0.713301167
12,640,0.884002451,0.721782146
14,1,0.712579168,0.707115239
14,2,0.718091591,0.707238087
14,3,0.716632721,0.706019056
14,4,0.727953597,0.6956809
14,5,0.722977821,0.694561454
14,6,0.720463121,0.694024001
14,7,0.723431723,0.697220207
14,8,0.721652706,0.711948848
14,9,0.715760692,0.680845253
14,10,0.722075042,0.710933675
14,12,0.739649785,0.715829735
14,14,0.73130973,0.704969208
14,16,0.737821627,0.716498031
14,18,0.732295018,0.702968381
14,20,0.725187257,0.698947989
14,40,0.735755534,0.713968989
14,80,0.75106223,0.713251335
14,160,0.781281351,0.706836994
14,320,0.826093614,0.707643831
16,1,0.704499698,0.695617204
16,2,0.716218497,0.715161355
16,3,0.710056888,0.704337845
16,4,0.720771751,0.707226975
16,5,0.727922588,0.691769984
16,6,0.72357347,0.707329235
16,7,0.725059162,0.701431221
16,8,0.719003734,0.705364182
16,9,0.72945249,0.702747765
16,10,0.713099381,0.708044893
16,12,0.719695538,0.701087484
16,14,0.728826237,0.703944871
16,16,0.732487103,0.697168317
16,18,0.730323178,0.68852192
16,20,0.730288255,0.694001812
16,40,0.735840879,0.698923676
16,80,0.750411874,0.688772606
16,160,0.773425309,0.705660618
16,320,0.826652742,0.704618202
18,1,0.70744741,0.697059062
18,2,0.713120363,0.696083697
18,3,0.711146381,0.703184897
18,4,0.713777134,0.694203259
18,5,0.705969868,0.702110592
18,6,0.731465768,0.712222987
18,7,0.716549612,0.70423943
18,8,0.724435927,0.713731186
18,9,0.71958349,0.69565581
18,10,0.725730154,0.70092699
18,12,0.718892716,0.699408597
18,14,0.72093683,0.703738195
18,16,0.725181441,0.693894632
18,18,0.720495044,0.704812069
18,20,0.732415993,0.681146397
18,40,0.733971121,0.701990089
18,80,0.755255174,0.722999256
18,160,0.786941376,0.714599595
18,320,0.833554987,0.694939322
20,1,0.708001198,0.698269836
20,2,0.708805281,0.702990298
20,3,0.709607747,0.699586667
20,4,0.713132285,0.700158775
20,5,0.714934938,0.695005895
20,6,0.722557021,0.700420962
20,7,0.7084068,0.701079984
20,8,0.708983546,0.700198737
20,9,0.718837327,0.703220026
20,10,0.725621272,0.715663302
20,12,0.7212595,0.713845504
20,14,0.729237337,0.690351627
20,16,0.728647754,0.692546646
20,18,0.724089938,0.708362256
20,20,0.735350061,0.698776361
20,40,0.743185623,0.698559127
20,80,0.751772537,0.690125046
20,160,0.780262798,0.701652445
20,320,0.842238333,0.693030508
